scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,44,a,0,10,1,9,10,-0.3524247076231595,4.20235332866546,7949.898029092316,0.050000000140400146,75.0355464906754,,,,11.692740998710773
S1-connector,0.5,44,b,0,10,1,9,10,1.6613654092339796,0.8745289524354736,624.8820250505398,0.11240350391169512,15.039944710155297,105.0267683084986,-190.8087385871347,220.88862800744528,11.692740998710773
S1-connector,0.5,44,c,0,10,1,9,10,-1.6218820485327006,1.744072909913954,1.193564391049817,0.4165976036035766,11.955851077655417,2.512693563174077,7.0310621896486065,16.880639965662226,11.692740998710773
S1-connector,0.5,45,a,0,10,1,8,7,-0.7238106056206703,4.29726953803949,8102.1604064997755,0.08659108910654965,47.623232052639665,,,,11.692740998710773
S1-connector,0.5,45,b,0,10,1,8,7,-3.1733430991713094,2.3620021605421746,0.09965195720858414,0.5320067514047115,12.299679944948862,15.348398162251986,-17.78262767344578,42.38198756334351,11.692740998710773
S1-connector,0.5,45,c,0,10,1,8,7,-2.1332534121325617,1.4103543072536602,0.24026613415549763,0.5037409767941289,10.874470924954437,1.9740072262501727,7.005487856282288,14.743453993626586,11.692740998710773
S1-connector,0.5,46,a,0,10,1,8,8,3.0444974178803275,-0.2473289264965039,8103.083860430472,0.06350495632849622,4.757480189753724,,,,11.692740998710773
S1-connector,0.5,46,b,0,10,1,8,8,1.0777910785035085,0.5594806391984629,51.19708314464857,0.2189586460890469,10.172530641289384,20.17366503014152,-29.367126253963143,49.71218753654191,11.692740998710773
S1-connector,0.5,46,c,0,10,1,8,8,-1.849820054175409,1.329032146074413,0.293478427420229,0.493608611805744,10.50043852120765,1.8516987104768916,6.871175738453681,14.12970130396162,11.692740998710773
S1-connector,0.5,47,a,0,10,1,9,10,-2.6581231000171037,1.8136791021192105,2.9500630930657343,0.542270612446306,11.156374171220214,11.849888862558036,-12.068981220195841,34.38172956263627,11.692740998710773
S1-connector,0.5,47,b,0,10,1,9,10,-6.763794694349421,2.5582734323668133,0.00012340983440185135,0.9433133485048124,10.750053974351525,1005.7435361867126,-1960.4710546355618,1981.9711625842647,11.692740998710773
S1-connector,0.5,47,c,0,10,1,9,10,-2.1250770203884,2.006372738923761,0.7258252561574742,0.44959937549965284,12.21860606843856,2.339532788900756,7.633206061542528,16.80400607533459,11.692740998710773
S1-connector,0.5,52,a,0,10,1,9,10,-3.6415669964487623,5.2991225004707285,160.72484373896944,0.3381027270297281,20.82881936327897,158.96895092441275,-290.74459910868535,332.4022378352433,11.692740998710773
S1-connector,0.5,52,b,0,10,1,9,10,-7.425518747301106,3.6188345101789485,0.00012340980412820768,0.9121250259506601,11.856013206215419,654.3795355017917,-1270.704308597346,1294.416335009777,11.692740998710773
S1-connector,0.5,52,c,0,10,1,9,10,-1.9359608219298545,2.015789224346419,0.8124607671762873,0.4265812145741119,12.423675262438021,2.335851800452053,7.845489860328956,17.001860664547085,11.692740998710773
S1-connector,0.5,53,a,0,10,1,8,10,-11.993187648007162,9.824142204968298,0.00012340980520354945,0.9035271486696417,17.037954817448995,46.4084797507567,-73.92099407129052,107.9969037061885,11.692740998710773
S1-connector,0.5,53,b,0,10,1,8,10,-7.033942499942276,3.7714594887615456,0.00012340980443461478,0.8718453431297168,11.947732577787601,463.1915081836064,-895.8909414068706,919.7864065624459,11.692740998710773
S1-connector,0.5,53,c,0,10,1,8,10,-2.121732274143156,1.6192129325516862,0.305556024126028,0.4994475365095418,10.956537717230367,1.9204505419694915,7.192523820879735,14.720551613580998,11.692740998710773
S1-connector,0.5,54,a,0,10,1,9,10,3.918135097229083,-1.3522131284060177,8103.083734387169,0.05777489559077694,-11.2091018341469,,,,11.692740998710773
S1-connector,0.5,54,b,0,10,1,9,10,1.186707130389342,0.9553476117623645,239.55641753270945,0.15998210569165927,13.5325583756979,61.068481370296304,-106.1594657006381,133.2245824520339,11.692740998710773
S1-connector,0.5,54,c,0,10,1,9,10,-2.289608568013459,1.878752357994765,0.3122007492490725,0.4793084680533555,11.784450339090444,2.018265610310057,7.82872243164698,15.740178246533908,11.692740998710773
S1-connector,0.5,55,a,0,10,1,10,9,2.710779775047474,-0.14956124405607069,7948.220683812344,0.09069551660218801,7.177263470270552,,,,11.692740998710773
