scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,51,c,0,10,1,8,10,-2.527287085179676,1.8724990937551913,0.20051853045669707,0.5231406343450469,11.252713050365218,0.7515467619937496,9.779708464159773,12.725717636570662,11.692740998710773
S1-connector,0.5,0,a,0,10,1,7,7,1.196474532034601,2.1312485882656897,8103.083830693685,0.058339374726224025,37.643930856998665,,,,11.692740998710773
S1-connector,0.5,0,b,0,10,1,7,7,-0.20496675769993947,1.8554891736735843,16.759464049297538,0.2271003592409124,15.674156519373824,5.111496317574923,5.655807829817865,25.69250520892978,11.692740998710773
S1-connector,0.5,0,c,0,10,1,7,7,-1.2899202555142706,1.710242103604072,2.0974865280297506,0.37822074093070657,12.28553942631198,0.913367837789399,10.495371359607535,14.075707493016424,11.692740998710773
S1-connector,0.5,1,a,0,10,1,10,9,-2.546746028515015,3.1931327437149832,0.9291078356660394,0.3954775539013353,14.991820076457278,79.15644642860659,-140.1519640677858,170.13560422070037,11.692740998710773
S1-connector,0.5,1,b,0,10,1,10,9,2.5378103730218617,0.28842688265039407,8103.083919986625,0.07257908502651562,11.44272860197519,1.4321758904881348,8.635715437091866,14.249741766858515,11.692740998710773
S1-connector,0.5,1,c,0,10,1,10,9,-2.6288586010133908,2.0690236075074977,0.19394679410613402,0.5127074214411758,11.686430812669546,0.7749020374038206,10.167650727811347,13.205210897527744,11.692740998710773
S1-connector,0.5,2,a,0,10,1,9,10,-3.8232441692329715,8.54261811737435,5289.066121506392,0.06137308299316382,117.71237291097833,,,,11.692740998710773
S1-connector,0.5,2,b,0,10,1,9,10,1.8996676702824962,0.6853075266580906,862.3474775210591,0.10543378208466297,13.73641644220851,2.7525864699755234,8.34144609672424,19.13138678769278,11.692740998710773
S1-connector,0.5,2,c,0,10,1,9,10,-1.6536153443683141,2.0706871214268405,1.5188195255719505,0.3907457648937567,12.843350062052355,0.9544537805892691,10.972655027189292,14.714045096915418,11.692740998710773
S1-connector,0.5,3,a,0,10,1,8,9,2.0598915964971507,0.0006956565608650794,2714.678663498823,0.1548555141084963,8.434167543439791,11.255095186324217,-13.625413664325805,30.493748751205388,11.692740998710773
S1-connector,0.5,3,b,0,10,1,8,9,-5.104756994718064,2.3209865857607896,0.0018001182268155452,0.7705575000163166,10.995277487228716,1.102504860645513,8.834407667583159,13.156147306874272,11.692740998710773
S1-connector,0.5,3,c,0,10,1,8,9,-2.0193648871399876,1.8648025526352106,0.5028145392648208,0.44934685552921866,11.96573618730614,0.889697917939199,10.221960311025038,13.709512063587242,11.692740998710773
S1-connector,0.5,16,a,0,10,1,9,8,-1.160433888406641,5.117681573998741,8103.083252488528,0.06173465462184674,73.87774044111589,,,,11.692740998710773
S1-connector,0.5,16,b,0,10,1,9,8,1.1452887194701784,0.9964692539466975,260.65605840212874,0.1616187470535737,13.676370120666451,2.9463066463787304,7.901715206353151,19.45102503497975,11.692740998710773
S1-connector,0.5,16,c,0,10,1,9,8,-1.4533998663688625,1.728633922245539,1.8385409817249425,0.39442024472599896,12.205915153025883,0.7974889047516365,10.642865621642382,13.768964684409383,11.692740998710773
S1-connector,0.5,17,a,0,10,1,7,10,-7.108972470144707,9.151947230522975,62.15273091327873,0.39447754704020155,26.643203551970757,11.297692107564746,4.500133912721438,48.786273191220076,11.692740998710773
S1-connector,0.5,17,b,0,10,1,7,10,-6.393133897984635,2.2961559261325304,0.00012340980414560606,0.9268685671634331,10.529104702908779,0.8236832533445181,8.914715191684742,12.143494214132815,11.692740998710773
S1-connector,0.5,17,c,0,10,1,7,10,-2.0056689432294466,1.7991300943836963,0.7036996666985287,0.4575717839216276,11.734408019938165,0.7141590060988396,10.334682088749519,13.134133951126811,11.692740998710773
S1-connector,0.5,18,a,0,10,1,10,8,-1.3098155358847912,3.7231164823649845,875.1894831803193,0.20764607669745486,22.677425831444797,,,,11.692740998710773
S1-connector,0.5,18,b,0,10,1,10,8,-8.344530153360745,4.710750904061891,0.00012340980567455734,0.9234264476447458,12.714300382151437,1.498565175928272,9.777166608846095,15.65143415545678,11.692740998710773
S1-connector,0.5,18,c,0,10,1,10,8,-1.6393953405719215,1.5410768576504577,0.8195982381315755,0.43662813564724684,11.429482644895531,0.7918285076244347,9.87752728801954,12.981438001771522,11.692740998710773
S1-connector,0.5,19,a,0,10,1,9,8,-2.206573990907163,3.5668195146132646,160.02953609257943,0.3293293540251151,17.02166942982303,9.1092160329177,-0.8320659220904894,34.87540478173655,11.692740998710773
S1-connector,0.5,19,b,0,10,1,9,8,-7.59804484689715,3.726183781465892,0.00012340980424732013,0.9338157299278346,11.767504834360826,1.0238241909308674,9.760846293635467,13.774163375086186,11.692740998710773
S1-connector,0.5,19,c,0,10,1,9,8,-1.6953566966266738,1.6620698342342821,0.8726864810107525,0.43329945229007777,11.656117708749909,0.8179260959794281,10.053012018614778,13.25922339888504,11.692740998710773
S1-connector,0.5,12,a,0,10,1,9,9,-6.012730389786105,10.954142224752076,8100.516891165404,0.09831512453357603,95.75252489047851,,,,11.692740998710773
S1-connector,0.5,12,b,0,10,1,9,9,-4.843226114817794,3.5707891641676976,0.02148536781157808,0.6161639774533053,13.359824344786782,1.9663159691478453,9.505915863031033,17.213732826542532,11.692740998710773
S1-connector,0.5,12,c,0,10,1,9,9,-1.3870603073230154,1.4216193485332986,1.0281776477994145,0.4193504250666287,11.280833632959931,0.8047333488120214,9.703585252130061,12.8580820137898,11.692740998710773
S1-connector,0.5,13,a,0,10,1,10,10,-4.27142490965408,8.597555754493342,2879.022410674097,0.10966703960497919,69.96232811485983,233.92280825495564,-388.5179512273221,528.4426074570417,11.692740998710773
S1-connector,0.5,13,b,0,10,1,10,10,1.5624056018424641,0.6141177353327198,863.7390280091867,0.1548351364080325,11.63054093161173,1.2581432410376738,9.164625491785394,14.096456371438066,11.692740998710773
S1-connector,0.5,13,c,0,10,1,10,10,-2.557189633978447,1.8726200844944134,0.16391452373389828,0.5166074421403504,11.446968612613423,0.8295721850586305,9.82103700732231,13.072900217904536,11.692740998710773
S1-connector,0.5,14,a,1,9,1,9,6,-4.450379546037087,0.6612454311919551,0.00012340980809056356,0.8520682888281872,8.926879492759628,55.29972140076433,-99.45858280783732,117.31234179335657,11.692740998710773
S1-connector,0.5,14,b,1,9,1,9,6,1.8832970336255874,0.4168584547487986,580.8308935858419,0.1376470458431943,10.563805248598943,1.4938355334662028,7.635941404179007,13.491669093018878,11.692740998710773
S1-connector,0.5,14,c,1,9,1,9,6,-1.9519277704079516,1.1123320871667683,0.17732059856064325,0.5208245988139254,10.126718806353157,0.7475264094357796,8.661593966366487,11.591843646339827,11.692740998710773
S1-connector,0.5,15,a,0,10,1,6,10,-1.2971366824047377,4.132205879093952,1598.5837099946152,0.16855252195314854,27.865110340289114,,,,11.692740998710773
S1-connector,0.5,15,b,0,10,1,6,10,-0.7825109248737382,1.4972957357074959,5.086813559740574,0.3338510455122949,12.389586127559715,2.9255147371462615,6.6556826065118795,18.123489648607553,11.692740998710773
