scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true,se_finite
S1-connector,0.5,5,c,0,10,1,7,9,-1.6062834541877025,1.5183942768018284,0.9819002778651764,0.4367668400355274,11.356427796159668,0.6234720890809315,10.134444956195093,12.578410636124243,11.692740998710772,1.0
S1-connector,0.5,6,a,0,10,1,9,10,-3.7554685631533378,8.33970540089507,8103.083784054405,0.0717832593835813,99.69741149717856,,,,11.692740998710772,
S1-connector,0.5,6,b,0,10,1,9,10,-1.5438343982125873,2.0929213078389264,2.0889055290082252,0.367475748917915,13.362679027102844,,,,11.692740998710772,0.0
S1-connector,0.5,6,c,0,10,1,9,10,-2.325998159425458,2.3140260919330347,0.8495614590557664,0.4389350739329959,12.991439739669127,0.7365974569202377,11.547735253001667,14.435144226336588,11.692740998710772,1.0
S1-connector,0.5,7,a,0,10,1,10,10,-1.714699833681666,4.979840332394003,2099.5913788184985,0.1412184083085554,36.2203345040447,,,,11.692740998710772,
S1-connector,0.5,7,b,0,10,1,10,10,-7.036891351293589,3.7196646476587336,0.0002988086443902,0.8695760288124784,11.989972813146611,1.2823367095251754,9.476639046423667,14.503306579869555,11.692740998710772,1.0
S1-connector,0.5,7,c,0,10,1,10,10,-1.4882098438790985,1.951000778462058,1.7921910558926477,0.3827794748471135,12.670348486943992,0.8616297158210401,10.981585275925271,14.359111697962712,11.692740998710772,1.0
S1-connector,0.5,48,a,0,10,1,9,10,-2.2444263467699823,3.880493864692845,242.11234275412036,0.3036603129285512,18.58665660483716,,,,11.692740998710772,
S1-connector,0.5,48,b,0,10,1,9,10,-7.098967337633846,3.0009818630105176,0.0001234098041154,0.934911732316564,11.212575712093564,,,,11.692740998710772,0.0
S1-connector,0.5,48,c,0,10,1,9,10,-1.8150628683190972,1.8068626592479364,0.6898701350714185,0.4337714415689433,11.91963024307788,1.2173675552065804,9.533633678925405,14.305626807230354,11.692740998710772,1.0
S1-connector,0.5,49,a,0,10,1,9,7,-1.9149912689870696,4.8719210546014065,1358.7716547915215,0.1748872959142913,30.392449969017715,,,,11.692740998710772,
S1-connector,0.5,49,b,0,10,1,9,7,-2.0009671882023623,1.456129846066226,0.6534407870662083,0.4915545568944138,10.910349975391592,,,,11.692740998710772,0.0
S1-connector,0.5,49,c,0,10,1,9,7,-1.5862762905430845,1.6413144958848809,1.0590006270893468,0.4196856679502925,11.772951347679763,,,,11.692740998710772,0.0
S1-connector,0.5,50,a,0,10,1,8,8,3.1570900486019258,-0.8459739286452049,3821.4299103622016,0.102623657370582,1.512145042409737,,,,11.692740998710772,
S1-connector,0.5,50,b,0,10,1,8,8,-0.0579722350315386,1.1165250120169343,17.39838283229775,0.2935890207211757,11.60207100217312,1.326256731794454,9.002655573602192,14.20148643074405,11.692740998710772,1.0
S1-connector,0.5,50,c,0,10,1,8,8,-2.4875253182572155,1.667480403833982,0.1962636017846346,0.5261365160536293,11.10895902751384,1.240370401314431,8.677877713448062,13.540040341579619,11.692740998710772,1.0
S1-connector,0.5,51,a,0,10,1,10,9,2.83074794711402,-1.966158018647832,576.5706682985846,0.2428951898988914,1.6690006028190942,,,,11.692740998710772,
S1-connector,0.5,51,b,0,10,1,10,9,-7.332425703152328,3.1319882182491283,0.0001234098041589,0.9540421570681598,11.236242386010002,,,,11.692740998710772,0.0
S1-connector,0.5,51,c,0,10,1,10,9,-2.2221348907857816,2.101297814262029,0.6991205043659087,0.4495780649014405,12.440566473658674,0.6797036087332649,11.10837188037957,13.772761066937777,11.692740998710772,1.0
S1-connector,0.5,28,a,0,10,1,8,9,2.3111388329930502,0.5072888587983284,7600.384606982573,0.078426844996641,13.553909457587462,,,,11.692740998710772,
S1-connector,0.5,28,b,0,10,1,8,9,0.2967208422301609,1.030835611129536,31.61387702751069,0.259757310753399,11.735935696738755,,,,11.692740998710772,0.0
S1-connector,0.5,28,c,0,10,1,8,9,-2.0736176770454007,1.512495190727836,0.3018639332034437,0.4911310740957139,11.038351971703388,0.7134318607857763,9.640051219139874,12.436652724266903,11.692740998710772,1.0
S1-connector,0.5,29,a,0,10,1,10,10,-2.751493826361953,-1.8072794579145424,0.0001477609003224,0.8756684327914489,5.699109725326967,,,,11.692740998710772,
S1-connector,0.5,29,b,0,10,1,10,10,0.3142688382696639,0.8229624048824735,30.784498112526627,0.2821213734963232,10.73720204117299,1.3244275603950428,8.14137172266646,13.333032359679521,11.692740998710772,1.0
S1-connector,0.5,29,c,0,10,1,10,10,-1.7186838898459786,1.2726836706274538,0.3415341588252917,0.4816389449042019,10.48110855321502,0.7533859157546366,9.004499291876204,11.957717814553835,11.692740998710772,1.0
S1-connector,0.5,30,a,0,10,1,7,7,-1.3603607763491503,5.16559458065807,8102.6962390831,0.0832200290143802,57.20847865755,,,,11.692740998710772,
S1-connector,0.5,30,b,0,10,1,7,7,-0.6334026714429599,1.116049409520826,3.63336693942905,0.3596957770990359,11.035598290089624,,,,11.692740998710772,0.0
S1-connector,0.5,30,c,0,10,1,7,7,-1.6217392406324025,1.9124184833294728,1.483378546800424,0.3982039925942922,12.518675813008487,,,,11.692740998710772,0.0
S1-connector,0.5,31,a,0,10,1,7,7,-1.2946758394176316,2.215966267706701,119.15056565290811,0.3445699818754918,13.611169048616322,,,,11.692740998710772,
S1-connector,0.5,31,b,0,10,1,7,7,-3.88783271884776,2.2539741184484825,0.0252798997401326,0.6264751550787513,11.586858110079826,1.2998755453070936,9.039148856893558,14.134567363266093,11.692740998710772,1.0
S1-connector,0.5,31,c,0,10,1,7,7,-2.4105899296886206,1.9492502205205176,0.3123992525283929,0.4842716865881029,11.923499420650565,,,,11.692740998710772,0.0
S1-connector,0.5,36,a,0,10,1,8,8,3.365894085823645,-0.7242815275269681,8103.083844922252,0.067260748594323,-0.593986784148426,,,,11.692740998710772,
S1-connector,0.5,36,b,0,10,1,8,8,-6.903096878689055,3.6210434141970422,0.0001234098063907,0.8554565072494623,12.020639476635187,,,,11.692740998710772,0.0
S1-connector,0.5,36,c,0,10,1,8,8,-2.478219816526871,2.1772258909783377,0.3161900346321987,0.4786182065841428,12.211217528715103,,,,11.692740998710772,0.0
S1-connector,0.5,37,a,0,10,1,8,10,0.537650976332561,1.311083300913538,779.591007156991,0.2115224894237375,13.46996342260935,,,,11.692740998710772,
S1-connector,0.5,37,b,0,10,1,8,10,-6.952519106389459,3.005920819001778,0.0001234098042696,0.9143308257918524,11.301791993453955,,,,11.692740998710772,0.0
S1-connector,0.5,37,c,0,10,1,8,10,-2.097697827732851,2.114186445431087,0.7051324512111428,0.4349921490287708,12.562749119795464,,,,11.692740998710772,0.0
S1-connector,0.5,38,a,0,10,1,8,9,-6.199045094002779,10.294819438342284,1427.657742668505,0.1798885626550241,53.36765025409418,,,,11.692740998710772,
S1-connector,0.5,38,b,0,10,1,8,9,-3.2798907661255745,2.986801329318758,0.1718324429767486,0.4819991816765152,13.81713359233319,,,,11.692740998710772,0.0
S1-connector,0.5,38,c,0,10,1,8,9,-1.8856638349754515,1.7497128844727514,0.7360752415848557,0.4417988035036149,11.873017841466153,0.7556205971901558,10.3920286849968,13.354006997935505,11.692740998710772,1.0
S1-connector,0.5,39,a,0,10,1,9,10,-6.177376737691716,11.499543543277616,8103.083669062778,0.0683910231740729,140.05593540033277,,,,11.692740998710772,
S1-connector,0.5,39,b,0,10,1,9,10,2.194824427639385,0.4281698996905502,2712.485422199885,0.0979989151008956,11.898496773586,,,,11.692740998710772,0.0
S1-connector,0.5,39,c,0,10,1,9,10,-1.862397264011703,1.9826277796021603,0.8377605702920108,0.4228292271004985,12.354627519663552,0.7801001989384425,10.825659225411673,13.88359581391543,11.692740998710772,1.0
S1-connector,0.5,32,a,0,10,1,9,10,-6.56090664164136,11.51550659959358,8093.805660804562,0.1138750183857474,87.48275508966896,,,,11.692740998710772,
S1-connector,0.5,32,b,0,10,1,9,10,-0.440935421150495,0.9769636194855364,11.504606217948282,0.3574295275078132,10.62517330885997,1.2145166991980396,8.244764319809347,13.005582297910594,11.692740998710772,1.0
S1-connector,0.5,32,c,0,10,1,9,10,-2.0146445663748898,1.889429309468624,0.6933240644491628,0.4503913764444324,11.94154236601057,0.6734571556661808,10.62159059577407,13.26149413624707,11.692740998710772,1.0
S1-connector,0.5,33,a,0,10,1,8,9,-2.1506346848094906,1.1769417202796304,0.636194227258676,0.408250726651872,13.515432675229777,,,,11.692740998710772,
S1-connector,0.5,33,b,0,10,1,8,9,-9.23426159528154,11.945309089019084,8103.083926365081,0.0903246194273131,139.88942110439172,,,,11.692740998710772,0.0
S1-connector,0.5,33,c,0,10,1,8,9,-2.4831775391605095,2.651337814864172,1.1676377893850018,0.4188785634155734,14.004774050073207,,,,11.692740998710772,0.0
S1-connector,0.5,34,a,0,10,1,8,9,1.3715622242060217,-0.8090923807004184,187.5496081160236,0.3082384481856666,6.366197759326349,,,,11.692740998710772,
S1-connector,0.5,34,b,0,10,1,8,9,-7.881909244739584,4.474230782698644,0.0001234098043706,0.8805785462904876,12.804258662398746,,,,11.692740998710772,0.0
S1-connector,0.5,34,c,0,10,1,8,9,-2.115964745856759,2.2236455038104417,0.7316822374527014,0.4267536493657602,12.85096898783513,,,,11.692740998710772,0.0
S1-connector,0.5,35,a,0,10,1,9,9,-1.3454901573099507,5.473900955551155,7582.938242286815,0.0500000005859749,94.91975547804137,,,,11.692740998710772,
S1-connector,0.5,35,b,0,10,1,9,9,1.5922812628027994,0.8853204484136243,526.0648488276943,0.1193777827009298,14.732912872655788,,,,11.692740998710772,0.0
S1-connector,0.5,35,c,0,10,1,9,9,-1.4760035133448923,1.6495950875670822,1.412179268843776,0.408857332112634,11.818804591406009,0.692566337904291,10.461399512208802,13.176209670603216,11.692740998710772,1.0
S1-connector,0.5,16,a,0,10,1,10,10,-3.120818024646035,7.351413259077676,8103.083170499223,0.0898874370972137,72.55630969864596,,,,11.692740998710772,
S1-connector,0.5,16,b,0,10,1,10,10,-1.9298053235487544,1.7825640285175006,0.7836322671595182,0.4517804102216244,11.715056353090896,1.015952187374559,9.723826655822071,13.70628605035972,11.692740998710772,1.0
S1-connector,0.5,16,c,0,10,1,10,10,-1.6874159577203138,1.5751773439649122,0.664896211810308,0.4434017123085338,11.35659943945251,1.1472561213735717,9.108018760517195,13.605180118387823,11.692740998710772,1.0
S1-connector,0.5,17,a,0,10,1,8,9,-3.825783362241589,8.4388729640112,8103.083818630762,0.0709223198095412,101.89914960281662,,,,11.692740998710772,
S1-connector,0.5,17,b,0,10,1,8,9,1.7121086503480578,0.6787513267047788,951.7533219766406,0.1270877702187386,12.960100082334524,,,,11.692740998710772,0.0
S1-connector,0.5,17,c,0,10,1,8,9,-1.0415240408122952,1.256033848943075,1.5613128706775623,0.3961643331538229,11.047558195576878,,,,11.692740998710772,0.0
S1-connector,0.5,18,a,0,10,1,10,7,3.849544072139372,-1.3746007318499,8103.083823524078,0.0715320330469724,-7.973527857339726,,,,11.692740998710772,
S1-connector,0.5,18,b,0,10,1,10,7,2.572114349268011,0.1743960299079124,8103.083918338487,0.0800858011231902,9.9274935372547,,,,11.692740998710772,0.0
S1-connector,0.5,18,c,0,10,1,10,7,-1.8635569718720988,1.5625484149893465,0.5472228839453153,0.4654819559664936,11.204935974436497,0.6433816691757799,9.943931074538705,12.465940874334288,11.692740998710772,1.0
S1-connector,0.5,19,a,0,10,1,8,8,-3.558566367669089,7.960716401071743,8073.96599984349,0.0838219682474864,83.02942218408785,,,,11.692740998710772,
S1-connector,0.5,19,b,0,10,1,8,8,-7.4093191057190495,3.936082930801853,0.0001234098043923,0.8763116151656071,12.321828867959026,1.5891189312466807,9.207212995564749,15.436444740353302,11.692740998710772,1.0
S1-connector,0.5,19,c,0,10,1,8,8,-2.4067021269515187,2.123497542066673,0.4543766712265772,0.4679544726481966,12.34441025305224,0.8204192811807314,10.736418009715766,13.952402496388714,11.692740998710772,1.0
S1-connector,0.5,8,a,0,10,1,8,9,-2.310005239651871,1.3998562925262084,0.6019259649309292,0.4102876599543809,13.847037448964304,,,,11.692740998710772,
S1-connector,0.5,8,b,0,10,1,8,9,-9.321527768777775,11.944424828930275,8103.076362871894,0.1018970722246344,124.8585915188782,,,,11.692740998710772,0.0
S1-connector,0.5,8,c,0,10,1,8,9,-1.6757673665267163,2.059518563876474,2.1586623984329463,0.3843745530759954,13.130837131498236,1.0992943138495885,10.976259867943371,15.2854143950531,11.692740998710772,1.0
S1-connector,0.5,9,a,0,10,1,9,10,-4.350358747177118,9.173534037205611,8103.083277706283,0.0649793584026323,119.29207648734928,,,,11.692740998710772,
S1-connector,0.5,9,b,0,10,1,9,10,2.4317055726196153,0.3120768564782425,8013.152298280834,0.0811056072129984,11.58677326559624,6.0029432602896104,-0.1787793258088488,23.352325857001325,11.692740998710772,1.0
S1-connector,0.5,9,c,0,10,1,9,10,-1.6147571133654994,1.648972302853814,0.9511321018264688,0.42335446947776,11.735392432548368,3.5854493645725167,4.7080408095942134,18.762744055502523,11.692740998710772,1.0
S1-connector,0.5,10,a,0,10,1,9,8,-3.549747611130332,6.738181275216093,1067.0534878975036,0.1944444338682917,35.746660647203534,,,,11.692740998710772,
S1-connector,0.5,10,b,0,10,1,9,8,-5.351726621563866,3.2581553436234136,0.004888502856814,0.7039794792032148,12.410961218224667,1.6705376587507472,9.136767572255339,15.685154864193995,11.692740998710772,1.0
S1-connector,0.5,10,c,0,10,1,9,8,-2.2441509470772765,1.9999851897057084,0.429987121964217,0.462449203427446,12.125702669364824,,,,11.692740998710772,0.0
S1-connector,0.5,11,a,0,10,1,8,9,-1.889960748178265,5.854530865063834,8103.083450894544,0.0851728231531145,62.11800012176445,,,,11.692740998710772,
S1-connector,0.5,11,b,0,10,1,8,9,0.2180983072341834,0.5669850797136345,11.400472701789202,0.3219447411008477,9.619478394481678,1.1562909160242527,7.353189843423316,11.885766945540041,11.692740998710772,1.0
S1-connector,0.5,11,c,0,10,1,8,9,-2.6099875420066967,1.7804119916892702,0.1098043558791028,0.5393376338915512,11.049233460250402,,,,11.692740998710772,0.0
S1-connector,0.5,44,a,0,10,1,7,9,-4.39114031271674,8.822330017043704,8103.083112187492,0.1056551860700117,73.75222919191856,,,,11.692740998710772,
S1-connector,0.5,44,b,0,10,1,7,9,-5.732329474484969,3.3079908700182736,0.0009739843391773,0.7538938301166316,12.082921657476964,2.0071404028063657,8.148998756061271,16.016844558892657,11.692740998710772,1.0
S1-connector,0.5,44,c,0,10,1,7,9,-1.4645982297459632,1.6462970428189545,0.9952054799295268,0.4126944709426116,11.658947498722863,0.7630999424171563,10.163299094980648,13.15459590246508,11.692740998710772,1.0
S1-connector,0.5,45,a,0,10,1,8,8,-6.437075576329268,11.663685747984156,8103.072132134145,0.0841629175543989,116.89552931664193,,,,11.692740998710772,
S1-connector,0.5,45,b,0,10,1,8,8,-2.8745003202845836,2.0079846806602264,0.0906260093303094,0.5375256988932983,11.593549951964706,,,,11.692740998710772,0.0
S1-connector,0.5,45,c,0,10,1,8,8,-1.4470416494787826,1.0696503749410726,0.5163210610535478,0.4615220113587905,10.338943265449812,,,,11.692740998710772,0.0
S1-connector,0.5,46,a,0,10,1,9,8,2.617505969590826,-0.5985364969372675,4371.731826091549,0.1455490414925737,5.051287660214654,,,,11.692740998710772,
S1-connector,0.5,46,b,0,10,1,9,8,-5.899337728048668,2.3699696434746715,0.0004730086829234,0.8672877448770702,10.68969915206766,0.7565808368061973,9.206827960534337,12.172570343600984,11.692740998710772,1.0
S1-connector,0.5,46,c,0,10,1,9,8,-2.167406948758541,2.0593831430651015,0.5468964961016952,0.4509356625117176,12.268685551409945,0.801546871963977,10.697682550439811,13.839688552380078,11.692740998710772,1.0
S1-connector,0.5,47,a,0,10,1,10,10,-1.665586938110159,3.903216863615926,594.391339543258,0.2357305038104158,21.48627193003118,,,,11.692740998710772,
S1-connector,0.5,47,b,0,10,1,10,10,-6.427572905319273,2.2312040182769013,0.0001855198841271,0.942654453598916,10.397240117407314,0.6020818113892591,9.217181451337728,11.5772987834769,11.692740998710772,1.0
S1-connector,0.5,47,c,0,10,1,10,10,-1.7595711486088346,1.635167777717011,0.8265623934454742,0.443428708621385,11.538441108295835,0.803582656459228,9.963448043034726,13.113434173556945,11.692740998710772,1.0
S1-connector,0.5,20,a,0,10,1,10,9,-3.8000413778103734,7.375140529022122,557.7113653092921,0.1684776175515102,42.74168421592622,,,,11.692740998710772,
S1-connector,0.5,20,b,0,10,1,10,9,0.3169583276505918,0.8934503399860529,35.62971383304206,0.2780822796518443,10.897595385323182,1.3019108969581925,8.345896916204888,13.449293854441477,11.692740998710772,1.0
S1-connector,0.5,20,c,0,10,1,10,9,-1.889077971495737,1.435063779381189,0.3734739998383837,0.4845495847663572,10.79846147697085,0.7070166760955227,9.412734255354405,12.184188698587295,11.692740998710772,1.0
S1-connector,0.5,21,a,0,10,1,9,7,1.244023824333927,1.969320380768201,8103.083722995236,0.0697863477802462,30.78188487488366,,,,11.692740998710772,
S1-connector,0.5,21,b,0,10,1,9,7,2.390430566756913,0.323852153708855,5163.704344812678,0.0854438525061326,11.413556027075334,2.8669859188992564,5.794366881849319,17.032745172301347,11.692740998710772,1.0
S1-connector,0.5,21,c,0,10,1,9,7,-2.2086990667985837,1.619986120627173,0.3370063129242929,0.4933595245523998,11.28107928454872,0.654528254609024,9.99822747865117,12.563931090446271,11.692740998710772,1.0
S1-connector,0.5,22,a,0,10,1,9,8,-1.076066388332494,1.307764409678282,55.75482398209042,0.4024742133781206,11.097805509281145,,,,11.692740998710772,
S1-connector,0.5,22,b,0,10,1,9,8,-7.775535985826183,3.8581054274182898,0.0001234098041266,0.9356861454154236,11.935508362571444,,,,11.692740998710772,0.0
S1-connector,0.5,22,c,0,10,1,9,8,-2.0529093614355243,1.754557199771811,0.61917792492155,0.4605448415411688,11.759855877274696,,,,11.692740998710772,0.0
S1-connector,0.5,23,a,0,10,1,6,7,-3.187766408196202,7.540419472815092,6805.990924025731,0.0798406124169019,82.52500274658074,,,,11.692740998710772,
S1-connector,0.5,23,b,0,10,1,6,7,-2.2312383920817167,1.412381585608801,0.1099167145950933,0.5144798808167632,10.8005407327061,,,,11.692740998710772,0.0
S1-connector,0.5,23,c,0,10,1,6,7,-1.8771751427655312,1.4545941616052205,0.4193980874643744,0.4746102494416656,11.005016297242785,,,,11.692740998710772,0.0
S1-connector,0.5,24,a,0,10,1,9,10,-2.286922291486946,6.513860540026105,8103.083720834125,0.0663440113258344,85.73276667954615,,,,11.692740998710772,
S1-connector,0.5,24,b,0,10,1,9,10,2.118827449258357,0.5452045558272448,2848.899881966606,0.0939785350421642,13.257217482509738,2.1278827477683517,9.086643933559639,17.427791031459837,11.692740998710772,1.0
S1-connector,0.5,24,c,0,10,1,9,10,-1.3952794292170347,1.9869509560755307,2.398400001974645,0.3655814185307677,13.01774636048183,0.9373865118182657,11.180502557724399,14.854990163239261,11.692740998710772,1.0
S1-connector,0.5,25,a,0,10,1,9,7,-2.462020036012964,6.637601154898902,8103.083734747983,0.0788505464577437,74.35580425567866,,,,11.692740998710772,
S1-connector,0.5,25,b,0,10,1,9,7,-2.300082845470431,1.7271357155285596,0.1733832618507772,0.5034587201043575,11.212349701152633,,,,11.692740998710772,0.0
S1-connector,0.5,25,c,0,10,1,9,7,-1.0705069795403657,1.2044644427812488,1.6405300613927232,0.4052384916322161,10.88022670231592,0.659071902147529,9.588469510884456,12.171983893747383,11.692740998710772,1.0
S1-connector,0.5,26,a,0,10,1,10,9,1.646339043646628,1.6292316183755018,8103.082622076396,0.0510915959744728,34.08336638925681,,,,11.692740998710772,
S1-connector,0.5,26,b,0,10,1,10,9,2.430909026758454,0.447322020853765,8103.083921712058,0.0680966955211541,13.814735731337432,2.1852947794368793,9.531636668037748,18.097834794637116,11.692740998710772,1.0
S1-connector,0.5,26,c,0,10,1,10,9,-1.785648578211425,1.9872135713451684,1.1050369217226323,0.4107387658260534,12.53722419336976,1.1769083603288113,10.2305261940212,14.843922192718319,11.692740998710772,1.0
S1-connector,0.5,27,a,0,10,1,8,8,-4.223729255831024,8.80161282449047,8103.083881907294,0.0877133534792972,86.9296209938837,,,,11.692740998710772,
S1-connector,0.5,27,b,0,10,1,8,8,-1.269842727277286,1.2998510495609317,1.0493980361330466,0.4220185260982042,10.916339983180718,1.0946944014626951,8.770778382236205,13.06190158412523,11.692740998710772,1.0
S1-connector,0.5,27,c,0,10,1,8,8,-1.6544325242767184,1.5900062740167349,0.7255430360013166,0.434746489531365,11.508120399128057,,,,11.692740998710772,0.0
S1-connector,0.5,52,a,0,10,1,9,9,-1.182860415811641,4.799050906025982,8103.082805495083,0.0972891785826245,47.10967290691256,,,,11.692740998710772,
S1-connector,0.5,52,b,0,10,1,9,9,-0.7693364670620921,1.3530234642794416,5.8445592334604815,0.3597704906586806,11.467577588887451,5.92493482151866,-0.145081272036375,23.080236449811277,11.692740998710772,1.0
S1-connector,0.5,52,c,0,10,1,9,9,-1.3283919826245034,1.3115486948990909,0.9092930495241028,0.4279883236657987,10.898898436353267,0.6989875345119037,9.528908043067489,12.268888829639046,11.692740998710772,1.0
S1-connector,0.5,53,a,0,10,1,8,9,-5.224170399517808,10.062384229718187,8103.048321638766,0.0914128002168584,94.35608321928537,,,,11.692740998710772,
S1-connector,0.5,53,b,0,10,1,8,9,-3.184727660381126,1.193852405491584,0.0094644547223358,0.6664032407839473,9.733478215160318,2.740617605657148,4.361966412675912,15.104990017644724,11.692740998710772,1.0
S1-connector,0.5,53,c,0,10,1,8,9,-2.3563843929316004,1.344879296391468,0.0968511481445436,0.5525922388645007,10.290320398582844,0.6693431215475651,8.978431987050001,11.602208810115687,11.692740998710772,1.0
S1-connector,0.5,54,a,0,10,1,8,9,-3.3013513061477404,1.981034662726452,7.274988020804213,0.6037885620840896,11.095528949424486,,,,11.692740998710772,
S1-connector,0.5,54,b,0,10,1,8,9,-7.240003225177784,3.2285879855441073,0.0001234098064779,0.928715336029344,11.441711288100334,,,,11.692740998710772,0.0
S1-connector,0.5,54,c,0,10,1,8,9,-2.279915304183171,2.2091555296462353,0.6016140419147468,0.445011175056228,12.69688638926172,,,,11.692740998710772,0.0
S1-connector,0.5,55,a,0,10,1,8,9,-4.259295821977515,8.985852573598528,8103.083746197852,0.0717627543679193,106.74696836361096,,,,11.692740998710772,
