combo,rep,scheme,ok,log_xi,log_xi_true,a0,a1,lam,q
0,39,b,1,9.462635064580414,9.672761633543844,-3.2758096150879443,2.044727407435738,0.03028588834359983,0.5802220710169735
0,39,c,1,8.531982428781179,9.672761633543844,-1.7317851798083543,0.844743172702301,0.33547523150650654,0.45834908045310274
0,48,b,1,8.806332958256714,9.672761633543844,-5.583647017398514,1.9701186691350467,0.0001234098046289786,0.8799593580770245
0,48,c,1,8.963985722079562,9.672761633543844,-2.6147462812431987,1.381344475812535,0.0728937738367744,0.5363162543144202
0,49,b,1,11.313504917408236,9.672761633543844,-5.565302410190538,4.831163349758864,0.0016296044193838215,0.6920451256779638
0,49,c,1,10.031632753331637,9.672761633543844,-1.563156117132451,1.7472446808997748,0.7652216727573138,0.3756850473766333
0,50,b,1,9.338134773927834,9.672761633543844,1.7810170947208375,0.19034693791241872,8103.083858682569,0.05299185451888015
0,50,c,1,9.334623316833374,9.672761633543844,-1.6237725459288028,1.311661062089859,0.5716217151304316,0.4093071796389341
0,51,b,1,9.153451784401922,9.672761633543844,1.7561758725845331,0.20530316189473777,5248.628980408823,0.056155936715885334
0,51,c,1,9.23665241483623,9.672761633543844,-0.4499893892212542,1.0083509839384894,4.908965884613576,0.285385829161629
0,44,b,1,9.599635381114188,9.672761633543844,-0.08750290330947592,1.0097521186876421,11.782233244060286,0.23771395839652337
0,44,c,1,10.101415151303076,9.672761633543844,-2.2625488315468054,2.2068361730865815,0.19067943791488032,0.44237095372070206
0,45,b,1,8.503236061217448,9.672761633543844,1.7453708454317933,0.12397345793558562,8102.907929799507,0.0624970053904151
0,45,c,1,9.298731099167043,9.672761633543844,-2.1555213238533666,1.4692662657315674,0.21183502684322006,0.4684670548866671
0,46,b,1,9.813819491450337,9.672761633543844,-6.25911696192717,3.549374609156464,0.000123409804115195,0.8653033960252624
0,46,c,1,8.975930632812956,9.672761633543844,-2.530333913829634,1.4056461734387382,0.07829984885907634,0.5255891731866636
